version,N,BS,threads,repeats,avg_time_s,best_time_s,GFLOPS,max_abs_error
naive,128,32,8,5,0.002986,0.002982,1.404477,0.0
transposed,128,32,8,5,0.002898,0.002873,1.447547,0.0
blocked,128,16,8,5,0.002339,0.002306,1.79347,0.0
blocked,128,32,8,5,0.00278,0.002766,1.508901,0.0
blocked,128,64,8,5,0.002535,0.002512,1.654846,0.0
openmp,128,32,1,5,0.002522,0.002395,1.663391,0.0
blocked_openmp,128,32,1,5,0.002746,0.002727,1.527304,0.0
openmp,128,32,2,5,0.001231,0.001195,3.407091,0.0
blocked_openmp,128,32,2,5,0.001421,0.001368,2.95134,0.0
openmp,128,32,4,5,0.000637,0.000594,6.584086,0.0
blocked_openmp,128,32,4,5,0.000754,0.000689,5.55986,0.0
openmp,128,32,8,5,0.000552,0.000515,7.592484,0.0
blocked_openmp,128,32,8,5,0.001323,0.000749,3.169387,0.0
naive,256,32,8,5,0.02622,0.02598,1.279708,0.0
transposed,256,32,8,5,0.02555,0.025526,1.313291,0.0
blocked,256,16,8,5,0.018689,0.018516,1.795412,0.0
blocked,256,32,8,5,0.02214,0.022115,1.515542,0.0
blocked,256,64,8,5,0.020227,0.020205,1.658906,0.0
openmp,256,32,1,5,0.018486,0.01843,1.815114,0.0
blocked_openmp,256,32,1,5,0.021893,0.021836,1.532677,0.0
openmp,256,32,2,5,0.009249,0.00921,3.627827,0.0
blocked_openmp,256,32,2,5,0.010975,0.010913,3.05733,0.0
openmp,256,32,4,5,0.004669,0.004612,7.187086,0.0
blocked_openmp,256,32,4,5,0.006543,0.005487,5.128384,0.0
openmp,256,32,8,5,0.010008,0.00657,3.352812,0.0
blocked_openmp,256,32,8,5,0.007733,0.004389,4.338886,0.0
naive,512,32,8,5,0.206018,0.127349,1.302969,0.0
transposed,512,32,8,5,0.125021,0.123322,2.147124,0.0
blocked,512,16,8,5,0.094393,0.091437,2.843821,0.0
blocked,512,32,8,5,0.116112,0.110156,2.311859,0.0
blocked,512,64,8,5,0.10469,0.103806,2.564091,0.0
openmp,512,32,1,5,0.09455,0.092988,2.839082,0.0
blocked_openmp,512,32,1,5,0.122134,0.115308,2.197878,0.0
openmp,512,32,2,5,0.074197,0.073772,3.617887,0.0
blocked_openmp,512,32,2,5,0.088927,0.088787,3.01859,0.0
openmp,512,32,4,5,0.03704,0.036756,7.247158,0.0
blocked_openmp,512,32,4,5,0.047028,0.044626,5.708023,0.0
openmp,512,32,8,5,0.031923,0.031376,8.408904,0.0
blocked_openmp,512,32,8,5,0.038399,0.032644,6.99063,0.0
